gene_id,SRR25115639,SRR25115640,SRR25115641,SRR25115642,SRR25115643,SRR25115644,SRR25115645,SRR25115646,SRR25115647
Nckap5,130.99999,92.00005,92.99999,60.0,53.999995000000006,50.999997,95.99997,76.999982,104.00008
Nckap5l,276.00009,255.98809,188.0,553.97773,646.99021,640.991,104.000414,94.00004,124.00041
Nckap5los,0.0,1.01189,0.0,2.02196,2.00932,2.00941,0.0,2.0,1.0
Nckipsd,291.00038,249.99955,210.00012,331.00024,375.99997,348.99982,190.00034,171.0,175.00014000000002
Ncl,4981.99453,4695.99899,4468.99962,5637.99592,5057.002449999999,5852.9915900000005,2973.99553,2539.00128,2871.00384
Ncln,952.00014,855.00017,763.00045,1299.00094,1338.999745104,1382.99989,760.99926,768.00076,730.99979
Ncmap,33.00003,3.0,1.0,6.000000780000001,3.9999981,6.0,1.0,3.0,2.000001
Ncoa1,603.0004200000001,534.0000900180863,612.99988,602.99955,633.00019,506.99974,639.99971,663.00046,672.00026
Ncoa2,907.99937,1031.00047,948.999881,963.99999,978.0,774.9996600000001,940.00028,864.99946,884.999360152868
Ncoa3,1115.69666,1015.64693,944.738,1569.3518800000002,1704.3585799999998,1330.26339,744.99971,686.75118,692.27337
Ncoa4,3427.9999,1599.00465,1750.00151,2479.00045,2249.99663,1905.00103,1507.0034400000002,1347.99486,1471.00194
Ncoa5,500.99936,478.00011,403.99978,584.99996,585.00007,636.9994,431.99959,346.0004,373.9996
Ncoa6,972.00038,875.99992,791.00032,980.00009,1089.00023,917.0004,582.9998700000001,593.00071,605.99993
Ncoa7,161.99984,128.0,134.99998,299.99961,300.99987,227.99977,73.99996999999999,68.00006,79.0001
Ncor1,2584.00088,2564.99932,2630.999660869,2499.00138,2575.0004200000003,2030.0034004497868,2644.00037,2367.00103721,2484.001043
Ncor2,1946.99944,2052.99983,1733.9995111678,2427.99932371725,2694.00117,2411.00060125,1416.00075,1329.000657865675,1379.51851
Ncr1,2.0,2.0,4.0,32.0,13.0,13.0,3.0,0.0,0.0
Ncs1,294.0,274.99953000000005,256.99992,401.0,445.0,474.0,192.0,168.0,177.0
Ncstn,1395.90817,1179.3916000000002,1058.43398,2364.52,2181.4464000000003,2062.9951,926.77861,754.0002499999999,866.39397
Nctc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ndc1,298.00023365,311.00001,307.00030000000004,309.0001126378,309.0,341.9998372,325.99970228801,297.9998625,309.00044
Ndc80,17.000049999999998,36.00003,12.0,102.00002,73.99998000000001,131.0,7.00001,10.0,13.999960000000002
Nde1,639.9994,619.0004,593.0005,798.0003,809.9994399999999,910.00064,511.0002,546.9997900000001,520.9999
Ndel1,1037.9995,1069.999948,992.9999,1276.00428,1433.0029916,1344.9966,765.0003477458,641.99935,715.99971
Ndfip1,2582.00721,2197.99568,1932.99999,2695.0044,2443.9968,2734.0052800000003,1265.0012,1176.9999,1153.0002002252102
Ndfip2,368.00062,334.00025,279.99977,493.00038,464.00059,480.99968,239.00012,210.99986,222.99981
Ndn,296.0,194.0,158.0,491.0,398.0,553.0,120.0,88.0,103.0
Ndnf,263.9999,219.9998,179.00037,357.0,607.0004,390.99955,180.0001,127.00008,144.99951
Ndor1,366.00022,329.99971,248.999678,483.00002,524.9996799999999,491.99965,193.00025,186.0000300124812,149.00003999999998
Ndp,14.0,4.0,0.0,8.0,4.0,6.0,0.0,1.0,0.0
Ndrg1,1587.99752,1378.00351,977.99969,2042.00101,1588.00122,1624.99863,765.99979,711.00012,712.0004399999999
Ndrg2,12094.99326,14793.99026,15911.991380371788,7138.004010000001,6619.99348,8358.9987,17939.049,16344.00252129,17386.982529999997
Ndrg3,600.9999,530.9997,506.00038,964.99977,955.99981,878.9999300000001,335.8911,314.0,304.00051
Ndrg4,6496.995718017,7861.0056,7266.00129,2774.99883,2776.00388,3611.00176,6143.99726,5316.99876,5729.9957
Ndst1,1491.99985,1503.99932,1516.99985,2576.00593,2746.9977900000004,2548.9995,1437.9998,1282.9996999999998,1350.00046
Ndst2,456.00017,349.00038,248.00003,761.999410109941,739.00026,789.00006,208.0,173.99954,217.00001
Ndst3,2.0,8.0,4.0,31.0,35.00004,19.99997,3.999996,3.0,3.0000045012200003
Ndst4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ndufa1,1201.0,1270.0,1574.0,926.0,823.0,1024.0,2007.0,1769.0,1782.0
Ndufa10,4223.0029,4728.00599,5985.99965,2190.0026900000003,2009.99982,2679.0014,8373.99707,7666.0008,8294.99854
Ndufa11,2645.99939,2922.99981,3051.002,1453.9978,1392.9997,1791.0019,3624.99834,3398.99949,3457.9955
Ndufa12,1953.9968,2074.9988,2505.99627,1138.00288,940.00046,1380.0048,3536.00032,3248.99458,3373.9982
Ndufa13,2785.0,2964.0,3298.0,1929.99,1723.99,2286.99,4783.0,4327.0,4570.0
Ndufa2,1111.0,1252.0,1497.0,1033.0,939.0,1176.0,2025.0,1817.0,1854.0
Ndufa3,1401.9996,1474.0020000000002,2033.0005,1170.9999,1020.9999,1249.9996,3360.9957000000004,2885.99774,2877.9951
Ndufa4,3392.0042700000004,3768.00212,5010.00028,2097.9977,1727.00481,2323.00022,6726.99329,6170.00304,6128.00705
Ndufa4l2,155.0,295.9998,258.0002,694.00037,621.0001,733.00008,244.99990000000005,262.9996,241.9999
Ndufa5,1835.00471,1948.99991,2692.00206,1087.0002,895.0004,1297.0005,3923.0,3645.998,3606.001
Ndufa6,1782.0038,1737.998382,2048.99671,1338.0034,1233.00004,1541.004066,2970.99565,2794.00236,2824.0007
Ndufa7,1234.00122,1283.0026200000002,1505.99999,1127.00039,960.99989,1166.00328,2004.00217,1931.99756,1907.00071
Ndufa8,2180.0,2235.0,2822.0,1400.0,1280.0,1706.0,4461.0,4119.0,4191.0
Ndufa9,3302.9987,3844.00403,5241.9982,2033.00338,1788.00257,2328.00099,7889.00274,7004.99675,7310.99897
Ndufab1,2167.00045,2344.00025,3029.99611,1211.99856,1076.09123,1506.99984,4398.99414,3988.00274,4271.99831
Ndufaf1,426.9993400100839,477.99951,600.0002101803091,336.00031,272.99959009673603,362.0005000323122,774.9998000763197,697.99997,709.0004
Ndufaf2,127.00015,136.0002,129.0,117.9996,116.99975,131.0002,135.99963000000002,130.00050000000002,140.99975
Ndufaf3,293.0,328.00026899999995,307.9998,278.00043,258.00015,258.99972,360.0002,383.9999,344.00018
Ndufaf4,638.0002999999999,683.9997,678.0007,362.0003,378.0001,474.0,1003.999,855.0,863.9994
Ndufaf5,193.00035,216.00015,272.0,166.99973,133.0,195.0,298.0,280.0,292.99967000000004
Ndufaf6,105.00004,108.00006,125.00012,54.00002,58.0,62.99997,199.9997,181.99951,194.9996
Ndufaf7,359.000423,362.00041,397.9999,307.01692,267.00051,352.08095000000003,407.99948,371.0001,390.99981
Ndufaf8,161.00005,163.0001,192.0,144.00005000000002,138.9999,212.9995,208.0,195.9999,201.0
Ndufb1,798.00019,857.0,1101.0,704.6446000000001,632.9999300000001,757.0,1329.0,1226.0,1238.0
Ndufb10,2966.9988200000003,3303.00096,4175.001029999999,1815.00358,1665.9968,2066.00145,7002.000552,6379.00075,6475.00045
Ndufb11,2165.0,2335.0,2697.0,1696.0,1377.0,1720.0,3931.0,3575.0,3644.0
Ndufb11b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ndufb2,765.9445000000001,777.99955,991.03779,519.99978,493.0223,588.00053,1448.98467,1340.02188,1415.96784
Ndufb3,1042.0,1160.0,1445.0,831.0,677.0,856.0,1802.0,1606.0,1728.0
Ndufb4,193.35799,193.0051,194.02133,130.9587,134.48028,142.9956,298.97673,263.28856,250.02724
Ndufb5,2573.98593,2971.9981500000004,3742.99761,1711.0008986,1549.68246,2033.99919,4897.743130000001,4508.00083,4599.00082
Ndufb6,842.23048,892.00522,1045.4054999999998,576.28692,488.55128,640.7913000000001,1391.88146,1207.15198,1300.23729
Ndufb7,1722.9952,1804.9984,2183.9971,1223.0039000000002,1089.0016,1471.9966,3290.9999,3118.0034,3200.0015
Ndufb8,3419.94546,3807.9987,5056.00181,2168.00231,1854.00199,2441.9955600000003,7865.00164,7395.002640000001,7436.99657
Ndufb9,3216.61,3805.65322,4674.24,2240.75,1739.83038,2504.62,6559.84,6144.02,6257.084199999999
Ndufc1,904.9991,971.9997,1192.0008,610.9999,513.0001,695.9999,1582.9999,1410.0006,1426.0004
Ndufc2,1268.995,1377.0030000000002,1560.9989999999998,1144.004,896.9997999999999,1140.0,1778.999,1628.005,1693.997
Ndufs1,5212.17927,6617.62307,7937.84968,2872.10428,2726.04961,3090.97954,10929.0473,9187.30138,10012.50983
Ndufs2,6908.99811,7981.0017,9961.9991,4085.99926,3674.13412,4574.06036,13502.98145,12174.96691,12827.0038
Ndufs3,2594.00155,2850.99734,3880.00266,1823.00025,1584.99608,2032.00245,5515.00385,5089.004400000001,5461.999900000001
Ndufs4,1115.99999,1212.9998,1635.0009,838.0004,712.9999,977.0,2325.0,2188.0,2198.0004
Ndufs5,1141.9988999999998,1173.00444,1555.99797,906.99999,737.9997599999999,1020.00018,2082.99996,1867.9989,1889.00009
Ndufs6,1154.00078,1295.99663,1740.99862,723.0002,686.99966,916.99988,2908.99813,2483.99998,2637.0012
Ndufs7,1805.99565,1893.99951,2393.00135,1108.9953,916.99994,1218.99869,4129.99874,3710.00322,3984.99643
Ndufs8,1357.00219,1494.0025,1913.00226,1049.99998,854.99977,1139.99792,2981.9977,2732.0013,2838.99623
Ndufv1,4485.99874,5477.99579,6645.00126,2699.997792681,2237.9978061,3176.00394,9502.003365,8369.995996,9154.99433
Ndufv2,3257.0043100000003,3446.99886,4382.00579,2053.99879,1769.99945,2369.99865,6153.9985,5509.99366,5815.00294
Ndufv3,1716.0008699999998,1927.99781,2497.00441,1499.00377,1326.99986,1601.99694,4117.00427,3834.99489,3848.99983
Neat1,10599.0022,8665.0019,4530.0009,9175.228,9473.9964,8509.99863,5473.0018,5109.0029,5517.997200000001
Neb,56.99993,98.999996017,260.0000507829,48.000024,107.9999981089,57.00008,104.00001,99.99993205,156.99993440423
Nebl,5250.99074,7218.00417,6443.99545,2707.99922,3385.9999100000005,2922.03459,4920.99614,4177.0006300000005,4518.9986
Necab1,8.22929,8.07309,14.23659,5.15918,3.092875,1.03281,20.822988,9.162902,8.195449
Necab2,1.999998,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Necab3,10.0,8.0,8.0,11.99998,1.0,4.0,3.999996,6.0,3.0
Necap1,460.00048,411.00025,472.00042,558.99988,594.9995700000001,526.00019,380.00021,349.0,345.0
Necap2,509.00008,453.99981,350.000091,1401.99934,1221.99641,1317.00489,207.99972,223.99977,220.00023
Nectin1,158.0,153.0,132.0,229.0,219.0,243.0,76.0,57.999955,69.99997
Nectin2,898.0,554.0,498.0,750.0,707.0,806.0,494.9999,452.0,451.9996
Nectin3,301.00053,283.9996,231.9998,456.9998,550.00006,540.00008,141.00003,117.999997,143.99989399999998
Nectin4,22.0,29.0,15.0,129.0,110.00021,121.0,12.00000107233,12.0,11.0
Nedd1,560.00009,617.99946,622.99988,485.9996,498.0003,443.99953,553.0,467.00017,525.0
Nedd4,14935.97283,13044.99821,12774.03795,17771.965200000002,20700.00484,17148.006159999997,9113.00444,8214.00046,8574.99517
Nedd4l,551.99944,643.99922467677,597.999782,633.0014267123,604.9993869329116,576.8987512250001,561.0001000276251,569.99993,575.9989899999999
Nedd8,923.9971,900.99874,893.00005,1147.99958,1046.99958,1350.9918,754.0001800215615,724.9955,714.9689
Nedd9,943.99987,1352.0047,987.9999,2929.9977700000004,3616.001,2788.998,677.00028,585.9998,661.9998050300001
Nefh,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Nefl,3.0,6.0,0.0,5.0,3.0,3.0,2.0,0.0,1.0
Nefm,3.0,5.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0
Negr1,70.99995999999999,76.00000999999999,85.99996,117.99969,73.99999,126.99987000000002,34.0,25.00003,28.0
Neil1,95.00001,82.0,84.0,139.99970000000002,138.9996,124.0005,84.0,68.99995,67.99992
Neil2,36.0,29.999964,25.99998,31.00002,41.00001,34.999979999999994,8.0,12.0,11.0
Neil3,7.0,24.0,5.000003,54.0,63.0,105.0,8.0,5.0,6.0000041
Nek1,396.99967,308.99983000000003,347.00057,375.00029,375.999953,340.99972,286.9997622,271.000095,272.00034
Nek10,0.0,1.0,1.0000000245318,2.0,0.0,0.0,0.0,0.0,0.0
Nek11,1.999998,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0
Nek2,20.00004,19.99998,17.99997,81.8506,66.90947,98.95901,9.000004,3.0,7.0
Nek3,60.00003,59.0,58.0,63.00000493099,68.00000728407,59.99992,37.999998051,39.0,47.0
Nek4,184.0111,102.00331,121.99999,175.0,146.99993999999998,131.00004,88.99996,100.00007,89.00007
Nek5,10.0,2.0,0.0,5.0000053,8.0,4.9999991,2.0,0.0,1.0
Nek6,333.1518,184.6839,180.54150123523,933.805,1068.796,1195.1016088,82.40461300000001,73.4202,92.4577
Nek7,1976.999,1982.001,1880.997,2095.00282,2084.004,1894.996,1513.999,1317.0010000000002,1539.0
Nek8,98.99996,124.99977,97.00001,133.00042,149.99989,154.00033,44.00003,35.00004,53.00003
Nek9,3223.0,3306.0,3716.0,2890.0,3143.0,2997.0,3520.0,2964.0,3285.0
Nelfa,259.99993,252.0001,220.00005,283.00024,324.0,341.99986,201.00006,195.00004,173.99982
Nelfb,704.00013,672.0004,609.99947,959.00023,816.00004,940.999700488033,552.9996199999999,496.0005000180081,549.0004399999999
Nelfcd,527.99975,565.00024,583.99973,548.00043,517.99963,592.9999899999999,533.00048,471.00014,457.99979
Nelfe,342.00024,261.00024,225.00018,454.99987,412.9999,497.99959,118.99993,139.9995,125.99993
Nell1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nell1os,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nell2,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0
Nemf,972.92757,1031.78,921.20788,828.28188,877.5506899999999,898.0748,820.43321,757.8797000000001,863.1420000520795
Nemp1,94.99996,125.67339,89.10063000000001,187.52658,181.14713,197.99975,84.79543000000001,74.89703,82.0
Nemp2,57.0,28.0000297,48.00005,174.00002,167.0,171.99989000000002,37.99995800000001,31.99995,36.00004
Nenf,1227.0,1002.0,938.0,1150.0,1024.0,1334.0,823.0,764.0,746.0
Neo1,3337.0038,2052.00346,1770.00005,3268.99257,3962.9957,3284.007,1604.0003,1468.99937,1512.0
Nepn,5.000001,5.0,26.00002,4.0,3.0,4.0,41.00005,46.0,39.0
Nepro,132.44706,119.01152,115.97248,151.98389,156.21832999999998,140.15759,67.1021,73.53763000000001,74.12335900000001
Nes,1397.0000338567,1313.99746,1293.0,2318.00495,1931.0,2260.99976706,981.99991,911.99958428,1027.99781
Net1,855.9998360039999,250.99988,762.00002,1120.99921,203.0,243.0038,196.99968,168.00001,212.0
Neto1,12.999959,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
Neto2,42.00004,55.9999,39.999990781129,26.999965,29.99997,37.99996,26.000008,22.00004,20.000003
Neu1,392.9996,365.0002,319.00030000000004,787.0,746.0,747.0,308.9996,267.9997,290.9996
Neu2,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0
Neu3,133.471,94.0,104.0,74.0028,106.0,86.0,78.0,82.0,67.0
Neu4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurl1a,67.0,39.00001,40.00005,56.99998,53.0,66.00002,35.000023,31.00003,27.99999
Neurl1b,107.99965,135.00028,130.00044,212.0,207.0,203.00003,138.0,99.0,153.00043
Neurl2,153.525,173.73,196.32,133.652,134.677,145.262,260.78,271.367,308.163
Neurl3,231.0,295.0,224.00031,1345.0021,1204.9952,1401.0025999999998,163.99991,142.00039,122.99989
Neurl4,788.9994921626667,725.00005,763.999321147679,665.9999800443434,748.00063,662.00017,828.00087,754.0007805220109,815.00013
Neurod1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurod2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurod4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurod6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Neurog1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurog2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurog3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nexmif,9.0,7.999995,1.0,7.0,6.0,9.0,5.0,6.0,3.0
Nexn,6494.99772,8434.99064,6845.0023200000005,3424.99902,3677.00412,4479.99711,6600.99939,5659.0069,6176.0021400000005
Nf1,986.99982,817.99982,774.0000899999999,894.99999,1047.00009,764.0001,668.00001,619.00044,613.00054
Nf2,2136.9979282,2333.00401,2173.00335,1651.00338,1677.99932,1806.99557,2027.00509,1909.99972,1950.9968
Nfam1,333.0004,142.00000122504002,170.999967433,1185.0000000430232,1039.0,931.000000078496,96.999982077,77.0,77.999976
Nfasc,110.0,9.0,21.0000407787,48.00004,30.999969,167.99989,3.000002,3.0,5.0
Nfat5,1866.00525,1561.99752,1217.00031,2085.00387,2564.99913,1762.99838314,855.99937,836.01616344,776.99987180812
Nfatc1,617.0007000160031,696.00072667,564.99926,1001.00055,938.00054,897.0006599999999,450.9998,391.999266,401.000077
Nfatc2,406.0003000442566,420.9995174,365.00029038,565.999526,464.00019803,417.9998531,315.9999,285.99973969,303.0000752
Nfatc2ip,83.0,88.0,65.0,115.0,99.99996,114.00007,46.0,59.0,56.0
Nfatc3,765.7152,682.85132,669.9135000000001,1041.8156,1081.6485,909.84084,609.9606,554.00026,596.8999
Nfatc4,363.99979,292.999889,156.99963,626.0002900000001,827.00158,748.0000799999999,74.99993,84.01304,104.99994
Nfe2,7.999997,2.000003,2.0,15.99998,14.000006,22.99998,1.999996,4.0,0.0
Nfe2l1,10136.0048943634,11384.99639,10141.9911536005,6847.00268,6496.996553,6640.004331553069,8292.99592168,7311.991451,7843.003421
Nfe2l2,2521.0,1957.0,1885.00477,2405.0003,2395.0029,2144.0,1100.001,980.0,1023.0026
Nfe2l3,116.99993,15.00005,9.0,42.0,26.0,25.0,4.0,4.0,4.0
Nfia,1263.0004604245507,1099.000505403,983.0002,1425.0007894978671,1283.9996928054,1323.000577742,658.00003147982,654.00021585,624.0000701237141
Nfib,2757.00025,2803.99906,2671.00416,2707.99857,2667.99919,2510.9999300000004,2219.00246,2043.00521,2069.9982600000003
Nfic,3340.99759,3685.9985,2941.0048,3409.9977,3487.00103,3251.9977,2104.0018,1978.998210317524,1926.9959
Nfil3,154.0,167.0,183.0,190.0,187.0,237.0,377.0,371.0,372.0
Nfix,3104.5718,2851.1511800000003,2411.64208,3325.7814,3703.62104,3211.74364,1985.43467,1951.58408,1961.9974
Nfkb1,1187.00173,1261.9998,1101.00005,2170.0003500000003,2028.9995176,1973.00068,848.00026,750.9997999999999,841.00072
Nfkb2,1225.994,1203.87009,873.2679,1008.81213,1020.60048,1155.97506,396.2189,322.0005,380.99987
Nfkbia,1231.0,1200.0,820.0,779.0,731.0,766.0,384.0,366.9998,353.00010000000003
