,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Rank
0,AKAP1,67463206.73263796,2.951048229315428,0.0389832177997545,75.70047820254615,0.0,0.0,1680.5036240317547
1,DLAT,220414851.51524577,2.573041022424139,0.053475457370848,48.11629762379224,0.0,0.0,1680.5036240317547
2,GAL3ST3,9112461.234731885,4.292363956025734,0.0981890155532146,43.71531715479352,0.0,0.0,1680.5036240317547
3,TRP53INP2,236727367.61329037,1.9742855220470048,0.0495560342106163,39.8394575654735,0.0,0.0,1680.5036240317547
4,LDB3,564732162.9717978,2.3822245360877314,0.0498713363405431,47.76740931546061,0.0,0.0,1680.5036240317547
5,GM31251,8954732.564883687,5.00558344589315,0.1193268175758191,41.94852043810395,0.0,0.0,1680.5036240317547
6,ACSS1,101747036.85940368,3.246136476330705,0.0859773130549469,37.755733006637975,0.0,0.0,1680.5036240317547
7,PDK4,125835668.21136272,3.487568511287616,0.0829270854500405,42.05584330331617,0.0,0.0,1680.5036240317547
8,MGST3,200709179.18082747,2.78227420535172,0.0641395503080136,43.37844889760786,0.0,0.0,1680.5036240317547
9,PDK2,242601816.68222487,2.8848324192638635,0.0652336968719169,44.22304050816079,0.0,0.0,1680.5036240317547
10,P2RY1,10222977.704936534,4.218787729838394,0.1001236028711822,42.13579624443032,0.0,0.0,1680.5036240317547
11,UQCRC2,599871579.0596447,2.4414289280773533,0.0547916167740633,44.55843926169835,0.0,0.0,1680.5036240317547
12,HRC,523363782.3825077,4.728297940855729,0.0930554384299961,50.81162391613188,0.0,0.0,1680.5036240317547
13,ITGB6,6893915.876496285,4.201083851710917,0.110101497150489,38.15646435732647,0.0,0.0,1680.5036240317547
14,GM50321,96034461.08011805,4.919645097452405,0.0454899153535759,108.1480380698416,0.0,0.0,1680.5036240317547
15,GFM1,128921478.4097136,2.2000530838560377,0.0575221574280016,38.24705439134062,0.0,0.0,1680.5036240317547
16,DYM,45387380.03434246,1.26388918551016,0.0328819495194065,38.43717309900456,0.0,0.0,1680.5036240317547
17,NUDCD3,43571515.25708952,0.771624663618555,0.0165226185450407,46.70111226710838,0.0,0.0,1680.5036240317547
18,ILRUN,71973143.05824502,1.0168733650795072,0.0194433692737641,52.29923634951588,0.0,0.0,1680.5036240317547
19,GM49477,19534610.2019403,4.855273226638082,0.1282948859614132,37.844635740963085,0.0,0.0,1680.5036240317547
20,PLIN3,61921135.942887664,1.6643889510212242,0.0365098248056398,45.58742639499381,0.0,0.0,1680.5036240317547
21,PHYH,485455414.44910336,2.85926927302138,0.0740573316417282,38.6088616702239,0.0,0.0,1680.5036240317547
22,HOPX,184238501.3926285,4.314133264719033,0.1055816709942967,40.86062688808999,0.0,0.0,1680.5036240317547
23,ANKRD40,222292718.16464505,1.8699286156542323,0.0472536628852422,39.57214110989541,0.0,0.0,1680.5036240317547
24,ETFDH,305828119.5946136,3.290120493491354,0.0779124383111687,42.22843700964902,0.0,0.0,1680.5036240317547
25,RPL3L,151005845.70116317,5.575126388839405,0.1082195842072639,51.51679734937655,0.0,0.0,1680.5036240317547
26,RAB12,107210987.93403731,1.3588749575921732,0.0324671472034215,41.85384533720193,0.0,0.0,1680.5036240317547
27,YIPF7,113661112.90834457,3.3601902408921784,0.0779125623422886,43.12770803416854,0.0,0.0,1680.5036240317547
28,ASB14,64204038.83564898,3.589336694894338,0.0296776403346123,120.94414024918878,0.0,0.0,1680.5036240317547
29,OGDHL,65274464.48035181,4.435264631292555,0.1089607088826197,40.70517415659016,0.0,0.0,1680.5036240317547
30,GM32113,4685877.7063135775,6.677111945527418,0.1959979352152986,34.06725656672243,2.2538520620800275e-254,2.941398115856483e-252,1679.5036240317547
